year,population,migration,education,health,safety,unemployment,housing,income,gdp
2010,610630,25767,56,87.7,566.76,9.7,309197,39167,71884
2011,622694,29056,56.2,88.3,592.68,8.7,276846,39886,73102
2012,635928,31324,57.7,89,597.58,7.2,267223,42280,75586
2013,653588,35133,59.8,88.5,584.62,5.9,303108,45029,77156
2014,670109,28894,58.9,93.5,603.1,5.2,331151,45688,79177
2015,687386,36566,62.1,95.6,598.65,4.7,359726,50290,81871
2016,709631,37014,63.1,96.1,613.15,4.4,402244,55184,83442
2017,728661,37281,62.6,95.8,632.69,4,455201,55276,86922
2018,742235,46399,65,95.3,680.17,3.7,507447,60625,92541
2019,753675,36926,65,95.8,585.43,3.3,512190,65205,96142
